YearMonth,Primary Type,Count
2015-11,BATTERY,3553
2015-11,BURGLARY,1218
2015-11,HOMICIDE,39
2015-11,NARCOTICS,1782
2015-11,OTHER,1321
2015-11,ROBBERY,819
2015-11,THEFT,4568
2015-11,TRESPASSING,488
2015-11,VANDALISM,2388
2015-11,VEHICLE THEFT,864
2015-12,ARSON,32
2015-12,ASSAULT,1247
2015-12,BATTERY,3686
2015-12,BURGLARY,1376
2015-12,HOMICIDE,34
2015-12,NARCOTICS,1297
2015-12,OTHER,1292
2015-12,ROBBERY,1039
2015-12,THEFT,5027
2015-12,TRESPASSING,441
2015-12,VANDALISM,2479
2015-12,VEHICLE THEFT,917
2016-01,ARSON,42
2016-01,ASSAULT,1226
2016-01,BATTERY,3728
2016-01,BURGLARY,1182
2016-01,HOMICIDE,54
2016-01,NARCOTICS,1147
2016-01,OTHER,1345
2016-01,ROBBERY,1041
2016-01,THEFT,4487
2016-01,TRESPASSING,462
2016-01,VANDALISM,2374
2016-01,VEHICLE THEFT,983
2016-02,ARSON,31
2016-02,ASSAULT,1241
2016-02,BATTERY,3497
2016-02,BURGLARY,842
2016-02,HOMICIDE,47
2016-02,NARCOTICS,1303
2016-02,OTHER,1318
2016-02,ROBBERY,702
2016-02,THEFT,4007
2016-02,TRESPASSING,438
2016-02,VANDALISM,2089
2016-02,VEHICLE THEFT,835
2016-03,ARSON,41
2016-03,ASSAULT,1641
2016-03,BATTERY,4278
2016-03,BURGLARY,1048
2016-03,HOMICIDE,45
2016-03,NARCOTICS,1476
2016-03,OTHER,1579
2016-03,ROBBERY,785
2016-03,THEFT,4661
2016-03,TRESPASSING,500
2016-03,VANDALISM,2538
2016-03,VEHICLE THEFT,781
2016-04,ARSON,46
2016-04,ASSAULT,1508
2016-04,BATTERY,4030
2016-04,BURGLARY,946
2016-04,HOMICIDE,40
2016-04,NARCOTICS,1459
2016-04,OTHER,1422
2016-04,ROBBERY,771
2016-04,THEFT,4595
2016-04,TRESPASSING,505
2016-04,VANDALISM,2392
2016-04,VEHICLE THEFT,756
2016-05,ARSON,55
2016-05,ASSAULT,1789
2016-05,BATTERY,4715
2016-05,BURGLARY,1106
2016-05,HOMICIDE,69
2016-05,NARCOTICS,1401
2016-05,OTHER,1582
2016-05,ROBBERY,961
2016-05,THEFT,5049
2016-05,TRESPASSING,585
2016-05,VANDALISM,2733
2016-05,VEHICLE THEFT,823
2016-06,ARSON,41
2016-06,ASSAULT,1817
2016-06,BATTERY,4852
2016-06,BURGLARY,1080
2016-06,HOMICIDE,81
2016-06,NARCOTICS,1278
2016-06,OTHER,1511
2016-06,ROBBERY,905
2016-06,THEFT,5359
2016-06,TRESPASSING,590
2016-06,VANDALISM,2641
2016-06,VEHICLE THEFT,931
2016-07,ARSON,47
2016-07,ASSAULT,1713
2016-07,BATTERY,4689
2016-07,BURGLARY,1349
2016-07,HOMICIDE,70
2016-07,NARCOTICS,1244
2016-07,OTHER,1513
2016-07,ROBBERY,1128
2016-07,THEFT,5821
2016-07,TRESPASSING,568
2016-07,VANDALISM,2987
2016-07,VEHICLE THEFT,1038
2016-08,ARSON,46
2016-08,ASSAULT,1761
2016-08,BATTERY,4586
2016-08,BURGLARY,1374
2016-08,HOMICIDE,96
2016-08,NARCOTICS,864
2016-08,OTHER,1511
2016-08,ROBBERY,1238
2016-08,THEFT,6005
2016-08,TRESPASSING,577
2016-08,VANDALISM,2974
2016-08,VEHICLE THEFT,1028
2016-09,ARSON,45
2016-09,ASSAULT,1694
2016-09,BATTERY,4318
2016-09,BURGLARY,1371
2016-09,HOMICIDE,66
2016-09,NARCOTICS,897
2016-09,OTHER,1354
2016-09,ROBBERY,1028
2016-09,THEFT,5736
2016-09,TRESPASSING,579
2016-09,VANDALISM,2850
2016-09,VEHICLE THEFT,978
2016-10,ARSON,51
2016-10,ASSAULT,1668
2016-10,BATTERY,4340
2016-10,BURGLARY,1314
2016-10,HOMICIDE,83
2016-10,NARCOTICS,762
2016-10,OTHER,1487
2016-10,ROBBERY,1149
2016-10,THEFT,5723
2016-10,TRESPASSING,552
2016-10,VANDALISM,2758
2016-10,VEHICLE THEFT,1010
2016-11,ARSON,34
2016-11,ASSAULT,1423
2016-11,BATTERY,3822
2016-11,BURGLARY,1376
2016-11,HOMICIDE,80
2016-11,NARCOTICS,778
2016-11,OTHER,1303
2016-11,ROBBERY,1163
2016-11,THEFT,5257
2016-11,TRESPASSING,485
2016-11,VANDALISM,2580
2016-11,VEHICLE THEFT,1016
2016-12,ARSON,37
2016-12,ASSAULT,1262
2016-12,BATTERY,3445
2016-12,BURGLARY,1301
2016-12,HOMICIDE,59
2016-12,NARCOTICS,724
